url,title,address,descripction,tel,gmap,img,lat,lon
https://meqqe.jp/spots/10357121,AED @今治市立九和小学校 プール入口階段脇（屋外）,愛媛県今治市玉川町摺木７１－１,,,"https://local.google.co.jp/maps?q=34.0206500,132.9387100",https://images.meqqe.jp/post_images/z2EYPWybkQ14LPtw5pwd5rhZdxq74xLWGkRF4gdI.jpg,34.0206500,132.9387100
https://meqqe.jp/spots/10357120,AED @今治市立九和小学校 玄関口,愛媛県今治市玉川町摺木７１－１,,,"https://local.google.co.jp/maps?q=34.0210200,132.9386400",https://images.meqqe.jp/post_images/SMngFhe0hfJRIsP1YbOIcgbKXPR8EArN8lQO6Zuy.jpg,34.0210200,132.9386400
https://meqqe.jp/spots/10357119,AED @今治市立鴨部小学校 体育館入口（屋外）,愛媛県今治市玉川町中村５７４,,,"https://local.google.co.jp/maps?q=34.0223500,132.9567200",https://images.meqqe.jp/post_images/dIUieF4lWQLrxBtqtCxSMBl5kdk79shjuLu3o0D9.jpg,34.0223500,132.9567200
https://meqqe.jp/spots/10357118,AED @今治市立鴨部小学校 １階正面玄関内,愛媛県今治市玉川町中村５７４,,,"https://local.google.co.jp/maps?q=34.0220500,132.9559300",https://images.meqqe.jp/post_images/d8ykByVhPMXvTCl2gArGu5NBD3VfBjQ3ZKRTcRCe.jpg,34.0220500,132.9559300
https://meqqe.jp/spots/10357117,AED @今治市立朝倉小学校 体育館入口（屋外）,愛媛県今治市朝倉北甲２８１,,,"https://local.google.co.jp/maps?q=33.9983200,133.0161900",https://images.meqqe.jp/post_images/k8XWs7RWzIbTIvaFpLk27akO4m0ndEzdkY5lz5Zk.jpg,33.9983200,133.0161900
https://meqqe.jp/spots/10357116,AED @今治市立朝倉小学校 職員玄関口,愛媛県今治市朝倉北甲２８１,,,"https://local.google.co.jp/maps?q=33.9984800,133.0165700",https://images.meqqe.jp/post_images/aZKKSgDFLmtnEodo3qqogyLZSNuVE0EPs5aubk8k.jpg,33.9984800,133.0165700
https://meqqe.jp/spots/10357115,AED @今治市立波止浜小学校 運動場側玄関（屋外）,愛媛県今治市地堀１丁目３－４0,,,"https://local.google.co.jp/maps?q=34.1059100,132.9651100",https://images.meqqe.jp/post_images/9TyitaPVMeSJaQRSAbbQ9MGln1LXVCXliDhE09tR.jpg,34.1059100,132.9651100
https://meqqe.jp/spots/10357114,AED @今治市立波止浜小学校 体育館玄関内,愛媛県今治市地堀１丁目３－４０,,,"https://local.google.co.jp/maps?q=34.1059400,132.9656800",https://images.meqqe.jp/post_images/OVXKV7MNNVNCBzHppGHfi1b7AO63tA1cfEgwzdY2.jpg,34.1059400,132.9656800
https://meqqe.jp/spots/10357113,AED @今治市立乃万小学校 保健室運動場出口横,愛媛県今治市延喜甲349,,,"https://local.google.co.jp/maps?q=34.0644100,132.9572800",https://images.meqqe.jp/post_images/g4pmvYm4ddh9PybX3HoBus2oMPpv7P1qM0X2xrXX.jpg,34.0644100,132.9572800
https://meqqe.jp/spots/10357152,AED @今治市立南中学校 体育館壁面（屋外）,愛媛県今治市松木３４９－２,,,"https://local.google.co.jp/maps?q=34.0315400,133.0011700",https://images.meqqe.jp/post_images/p1lG5S5Az7UBRBjKg8hAN0a7HphxPZeUaFu8yziv.jpg,34.0315400,133.0011700
https://meqqe.jp/spots/10357151,AED @今治市立南中学校 1階職員室前廊下,愛媛県今治市松木３４９－１,,,"https://local.google.co.jp/maps?q=34.0308800,133.0006100",https://images.meqqe.jp/post_images/PXC7cgiAtLzQiOpiC6etCdvQLCAu5PKVwbcf4pPg.jpg,34.0308800,133.0006100
https://meqqe.jp/spots/10357150,AED @今治市立桜井中学校 玄関口（屋外）,愛媛県今治市郷桜井１丁目８－８,,,"https://local.google.co.jp/maps?q=34.0164100,133.0340400",https://images.meqqe.jp/post_images/2mXx0hZeOaYHnNMRfgCGljOWSNjPStbv0aNY47VF.jpg,34.0164100,133.0340400
https://meqqe.jp/spots/10357149,AED @今治市立桜井中学校 体育館入口,愛媛県今治市郷桜井１丁目８－８,,,"https://local.google.co.jp/maps?q=34.0169400,133.0334200",https://images.meqqe.jp/post_images/dqtxsPi2aNKP97A7ARiqM4XD6QjrkDToQByzu0kd.jpg,34.0169400,133.0334200
https://meqqe.jp/spots/10357148,AED @今治市立立花中学校 体育教官室入口横（屋外）,愛媛県今治市立花町２丁目８－７,,,"https://local.google.co.jp/maps?q=34.0504100,132.9979200",https://images.meqqe.jp/post_images/HOYjZBEXOqQ3Fko00hKPXUJ0HsJ708fFekJkVQlD.jpg,34.0504100,132.9979200
https://meqqe.jp/spots/10357147,AED @今治市立立花中学校 本館１階職員室前廊下,愛媛県今治市立花町２丁目８－７,,,"https://local.google.co.jp/maps?q=34.0496300,132.9971800",https://images.meqqe.jp/post_images/mJz52UpDOBZNIVSiZ3jGFBCTtLy4qhX6gFgDVxAN.jpg,34.0496300,132.9971800
https://meqqe.jp/spots/10357146,AED @今治市立近見中学校 体育館入口(屋外),愛媛県今治市近見町４丁目２－５７,,,"https://local.google.co.jp/maps?q=34.0864600,132.9808300",https://images.meqqe.jp/post_images/oKPDr2WFfoBNlLz7F4cysrSvgigvObnBdx0U3OpA.jpg,34.0864600,132.9808300
https://meqqe.jp/spots/10357145,AED @今治市立近見中学校 生徒玄関(屋外),愛媛県今治市近見町４丁目２－５７,,,"https://local.google.co.jp/maps?q=34.0864300,132.9814800",https://images.meqqe.jp/post_images/h1gqgb0g8zOpScFeWL60ezkbmkrSGVKw8sKkPlv2.jpg,34.0864300,132.9814800
https://meqqe.jp/spots/10357144,AED @今治市立日吉中学校 保健室前運動場側（屋外）,愛媛県今治市中日吉町１丁目３－７０,,,"https://local.google.co.jp/maps?q=34.0614400,132.9926900",https://images.meqqe.jp/post_images/roCt7Ltp8VuBeRXQkOUqPUyvyViqJFizEqCzyMYT.jpg,34.0614400,132.9926900
